Initial data:
Name                          | Age | Salary   
------------------------------+-----+----------
Heather Campbell              |  86 |  1178.82
Stacey Brown                  |  91 |  4736.19
Michael Jackson               | 108 |  2012.86
Karen Walsh                   | 110 |  3818.07
Tamara Miller                 |  29 |  2919.01
Nicholas Johnson              |  27 |  4487.29
Cristina Pearson              |  93 |  2990.88
Peter Valenzuela              |  52 |  2269.32
Jessica Douglas               |  25 |  1980.22
Gregory Wells                 | 101 |  1403.49
Tiffany Ponce                 |  25 |  3079.72
Gwendolyn Lee                 |  87 |  2530.03
Matthew Hayes                 |  99 |  2741.09
Charles Young                 | 109 |  4778.25
Natalie Parker                | 110 |  2605.44
Daniel Mcdowell               |  68 |  4460.75
Jonathan Bennett              | 100 |  4104.45
Donald Bautista               |  92 |   167.15
Justin Morales                |  59 |  2516.82
Pamela Campbell               |  58 |  3329.59
Sherry Ferguson               |  91 |   684.73
Victoria Garcia               |  37 |  4767.01
Kevin Williams                |  31 |  3548.04
Kristine Young MD             |  30 |  1226.34
Jennifer Matthews             |  82 |  3368.92
Thomas Martin                 |  49 |  3072.44
Heather Watts                 |  87 |   479.49
David Bowman                  |  57 |  2038.83
Jose Perry                    |  92 |  1771.78
Bonnie Patton                 |  91 |  2535.59
Kevin Smith                   |  43 |  4243.94
Juan Hayes                    |  27 |  4983.03

Results:
Name                          | Age | Salary   | Hash
Heather Watts                 |  87 |   479.49 | SwdqSm4uimLWHSb4gDmkjPV5VlYa9Bfs1OfcnuJWcYPCT0Pa0hdh5GVY10EI2e7sUowRNqod3uI9o4rQShSUoQ==
Jennifer Matthews             |  82 |  3368.92 | -Z1WYcRN4FLDBCkQy8VtEkL6iJR43Qm9Fdbf0EoXNd2gXF7DEo4Jsk9FKGfo7IC4SgJNgwisSQstr6OIxKj5hQ==
Jessica Douglas               |  25 |  1980.22 | qxCA3Su4kILWE9TjQcQ8pjQ4nuWMgtLB0nQoJo37Jq8Y2nKwBc_j7TBru6G65Xk6jCTpHGUCANoS_vlSm7hFWA==
Jonathan Bennett              | 100 |  4104.45 | ZOSfwTfgEUk34uPo5mDXB2oKXBmICdZM1kuRaCAbFmXayI8NqdN8Qnht9AAqLrBSovYRZZSOlfwYQXsOLSfRSg==
Jose Perry                    |  92 |  1771.78 | OWJ7RdFc2s9fDpFABhU01SDbn1XMlSh58zroEroxLdy4eyWy0-VzdC2KVukZSdcOsVUadr3npS4DkP2GYZNtMQ==
Juan Hayes                    |  27 |  4983.03 | P82QqugJRNxQyUZS_UIfc05UxCTiKcr5rpTPrqrlFVm_lU67L_NOBs93BtK2P0P2HJiKlT8AkoXcI9czJ8mtHw==
Justin Morales                |  59 |  2516.82 | gzttRlYrS_10ZCOwrToh7iE2wfopxSRPdxnpJshREVkzLiYw6J9Awe3lnR0fVK3xaBLWmMLg0fpOv7kM57zVjw==
Karen Walsh                   | 110 |  3818.07 | VNj54md9QhKMG2LuCVxVEyJGA-oCKkUd5eY0A54J9HWbQj0MNPWmcuu1OiferhHNVpiwKzF6HhMbBNQuIygaWg==
Kevin Smith                   |  43 |  4243.94 | d0v3M1tHZ6ZI-YB6dhZSniCfil1XLK-1iSBci3XomCnAKabyL2vfEZ-DXBaoX_eBHSV52krj2X7FdV6cgcWjew==
Kevin Williams                |  31 |  3548.04 | YljVPcEc-Sz86_y_QPoujam25V91nsnYyX_A5rLG4Y1rHTe_ZtTxLm_lQ5qzKRRzBIgXYxC4eI9y5x_zXZIfhA==
Kristine Young MD             |  30 |  1226.34 | wYDMTtkGhTyvePrDpO-0xdDzmueKYEGcTHeHY55TzCiIq1q1Bwmx4n6F535yPNVWePigpiML-sKyFPvqg921iw==
Matthew Hayes                 |  99 |  2741.09 | 6kHPxMhRyDZQCxto5wcamhl1NckfmnlhSUB9DqFBIEIMlage02koJYcvUfhZExYHiLL2rd7Ws08RYRVIU1F8lQ==
Michael Jackson               | 108 |  2012.86 | 5ZCv3WDzi_lPv3SZIGHL6Zkg9ERfav6SxALCVhAtGHgp7x-nMomcFqeHju2jTLr8JIaQ4PcHWTFOQAqbYB5O4w==
Natalie Parker                | 110 |  2605.44 | v75hKIBhoU5sRrtzOau9TCqVu75IK-qPUKrBCLQJUyXBchhtcUaxrLb2tiFwho8obFhEhAdiP3rS6ygh1apfcg==
Nicholas Johnson              |  27 |  4487.29 | tsrZXtockjfJJ6oTaInwZXz9pNkA1PrddzHBlh9j27AomRxBOlWv3xe5zD19FG3UkoVz-Bn5IQISP7fgWxS2tA==
Pamela Campbell               |  58 |  3329.59 | KygbkM7yQsaAgHvpbCKidYDn7koUL4P1rCSOwU1vHslVzc40PpdkcVIC5vH_yddpqeyGOP3dSpf6bbQ3pmoFvw==
Peter Valenzuela              |  52 |  2269.32 | CzWvOWlhejmJy8t4leqV-0vEKD5PTyohKriRBKUMNyfq9P8jKGLmUSDbkrij8OerY8VCfvtraqCEnlWnQOWKeQ==
Sherry Ferguson               |  91 |   684.73 | gWVNbphLWv9fDO1MrRa4JAaW0FKcjg_phUOzuuyvUqnLoNKGWJr6Ut77Q2rQC7FmO5sry5GEX0pbrQ7o36vitA==
Stacey Brown                  |  91 |  4736.19 | JfHK6D7-J4igFHSHtVi0wNFc60jYGjtsuqqkNrYtAMVMBgeWvO_M1W8Zva-EwOCDb_wui8mJvb2zw2seUXUSaw==
Tamara Miller                 |  29 |  2919.01 | imvuDtFm9ndPn5asM44yY3k5pBcryN6WO8qQX0gemxsIRc8CeUeb4VbaS8Y6_9ipY-1-NqrzrZrTi9fIZf9SEQ==
Thomas Martin                 |  49 |  3072.44 | lnVhhlQVErsBn8dUfPzu0vYWYjZ7ZoIF0_OGqkKKqy2BoZYC8AXthYsm5C3cBRsGFN9sSGfZskCK4DNI5Y9_Xw==
Tiffany Ponce                 |  25 |  3079.72 | WSPsXdMyspB1fm4jvhD7fd-ySPaNsbrdvxmwF8PxJzFDY-lhXtdtAT08NFofFMUAAl6iNiO1xo8lpplGp786UQ==
Victoria Garcia               |  37 |  4767.01 | RTCs0LEWid68W_lM911lwtbJ7xipNfabDzwoU1pY6o8sQL26VK5TVIuhXIYV0HQetrNaavjc2eiLDBfWyoXiGw==
